[2023-05-12T19:14:21.451633+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:25:40.750572+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:25:40.752702+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.550903+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.550808+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.550817+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.550687+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.554282+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.554282+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.554285+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.554282+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.550911+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.558212+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.591740+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.592014+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.592017+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.592304+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.592723+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.592985+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.601123+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.601619+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.603687+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.603726+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.604045+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.604072+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.604674+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.604700+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.604929+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.604974+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.611974+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.612357+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.615510+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
